block,phase,fair,price_on,price_off,kappa,trend,d,lp_on,lp_off,cum_lvr_on,cum_lvr_off,cum_noise_on,lp_vf,cum_lvr_vf,cum_noise_vf
96,0,4123939999999999344640,4104353175966892818366,4104353175966892818366,0,1,611843659425790205,8860579560099876667121248,8860579560099876667121248,8755894808130714138609,8755894808130714138609,0,8861336072909665282236209,8210198476295780489060,213142001636570163983
97,0,4110300000000000131072,4097310744490453212697,4097310744490453212697,0,1,315700045532834738,8845900181853110960669829,8845900181853110960669829,8758212754466054836717,8758212754466054836717,0,8846659949074819390127122,8211101749469989402513,216218175727859445198
98,0,4105709999999999803392,4108333151156384503916,4108333151156384503916,0,1,266212798772050182,8840949043067930812088267,8840949043067930812088267,8762847257568956728144,8762847257568956728144,0,8841710696801273102501871,8213974634764472988649,216766356275335742728
99,0,4168080000000000000000,4152691917169381564166,4152691917169381564166,0,1,313720269255804619,8907862315125986964614006,8907862315125986964614006,8994963438992014148891,8994963438992014148891,0,8908643981670284677471296,8434803686977726012479,219689357478917032935
100,0,4191600000000000524288,4214834677885682096223,4214834677885682096223,0,1,473905444630618941,8932978829269611449114592,8932978829269611449114592,9092075331463748149431,9092075331463748149431,0,8933775622790806307409903,8523810767283503644971,224482386962608252506
101,0,4218359999999999737856,4202689787076354233983,4202689787076354233983,0,1,618716560945635663,8961429696995474027980711,8961429696995474027980711,9092858328232873047939,9092858328232873047939,0,8962233755592709448680833,8523810767283503644971,228304739949646171167
102,0,4201949999999999803392,4215619982663537969242,4215619982663537969242,0,1,522908701166709682,8943978424480541636779137,8943978424480541636779137,9092892976015636661445,9092892976015636661445,0,8944785250074374233152340,8523810767283503644971,232595284571530594083
103,0,4185340000000000131072,4167995569005640353473,4167995569005640353473,0,1,555833858376013753,8926290946161954972946294,8926290946161954972946294,9150875584654688772378,9150875584654688772378,0,8927104629370052876646758,8578399368551660106100,236097117621818037531
104,0,4168199999999999737856,4178174430640102782087,4178174430640102782087,0,1,196535362332768902,8907981671764797122229948,8907981671764797122229948,9150878263247518192407,9150878263247518192407,0,8908795705221674066225256,8578399368551660106100,238090812372616259504
105,0,4122020000000000393216,4137059312227002671220,4137059312227002671220,0,1,240817510303927403,8858506280035187402070320,8858506280035187402070320,9353616756969993946290,9353616756969993946290,0,8859330382994351652834866,8768467884324994383412,241157697712404614847
