id,block,pool,kind,zeroForOne,amount_in,amount_out
363,11156392,poincare,noise,0,1683258242307442572845,502811154002438403
364,11156392,control,noise,0,1683258242307442572845,502811146669304750
365,11156393,poincare,arb,0,8636824044923316258069,2571522166339976929
366,11156393,control,arb,0,8636541730386516290802,2571438072697639186
367,11156393,poincare,noise,0,7733205812084921045148,2290603450691903051
368,11156393,control,noise,0,7733205812084921045148,2290603298006490847
369,11156394,poincare,arb,1,3999369381074370786,13477597486954939416464
370,11156394,control,arb,1,3999322483658760800,13477440344285941985951
371,11156394,poincare,noise,1,135042779833723826,453087284739290361667
372,11156394,control,noise,1,135042779833723826,453087282962238783798
373,11156395,poincare,arb,1,9688069038525678363,32169282571805253182964
374,11156395,control,arb,1,9687800319034326462,32168390161198465244797
375,11156395,poincare,noise,0,6688543049498994990005,2030690366040899089
376,11156395,control,noise,0,6688543049498994990005,2030690247494027683
377,11156396,poincare,arb,0,14078028900791164709559,4246000095728275373
378,11156396,control,arb,0,14077460813737409003850,4245828510124827778
379,11156396,poincare,noise,1,87755349167390432,292241184097734916446
380,11156396,control,noise,1,87755349167390432,292241183355653693612
381,11156397,poincare,arb,0,9359117620519122307421,2802323026354865359
382,11156397,control,arb,0,9358869587741042879499,2802248767071356972
383,11156397,poincare,noise,1,2560298819537151622,8553001689582276572289
384,11156397,control,noise,1,2560298819537151622,8553001055775614562024
385,11156398,poincare,arb,1,127304994669224793,424069309288741285462
386,11156398,control,arb,1,127231473004882221,423824367762733466600
387,11156398,poincare,noise,1,1704313738491997344,5666307776921484074099
388,11156398,control,noise,1,1704313738491997344,5666307497952116563953
389,11156399,poincare,arb,1,3356783403301933142,11100817412373702348862
390,11156399,control,arb,1,3356644952729978585,11100359012521570546617
391,11156399,poincare,noise,0,1133212240817881965209,343763038311934486
392,11156399,control,noise,0,1133212240817881965209,343763034910293261
393,11156400,poincare,arb,0,9966423649723525147517,3012664345648655912
394,11156400,control,arb,0,9966120009841800198447,3012572531154292761
395,11156400,poincare,noise,1,1978015768797462110,6550758413480560985824
396,11156400,control,noise,1,1978015768797462110,6550758039953718079707
397,11156401,poincare,arb,1,1394274070552091048,4601148153861767932902
398,11156401,control,arb,1,1394181818725268970,4600843457598528711758
399,11156401,poincare,noise,0,9718327161903018721766,2940122539736288681
400,11156401,control,noise,0,9718327161903018721766,2940122290911450838
401,11156402,poincare,arb,1,920459922495944274,3048982063959547227126
402,11156402,control,arb,1,920514923241837462,3049164509507914098072
403,11156402,poincare,noise,1,1978409629610737502,6533402764833923254298
404,11156402,control,noise,1,1978409629610737502,6533402392753021016453
405,11156403,poincare,arb,0,2846842551028169833990,863079276208403761
406,11156403,control,arb,0,2846943027904686619753,863109787008931905
407,11156403,poincare,noise,0,5710721099211493580146,1726605509497831878
408,11156403,control,noise,0,5710721099211493580146,1726605423603882139
409,11156404,poincare,arb,1,7235572947143296573,23793493918074717574617
410,11156404,control,arb,1,7235422158808502022,23792999248605004820584
411,11156404,poincare,noise,1,2216465965737977560,7216665106072912387937
412,11156404,control,noise,1,2216465965737977560,7216664648927246745726
413,11156405,poincare,arb,0,13179638812150736649851,4040153659433493463
414,11156405,control,arb,0,13179475232840641688150,4040103770921737070
415,11156405,poincare,noise,0,4185940153873680212462,1276052799788108751
416,11156405,control,noise,0,4185940153873680212462,1276052753054294265
417,11156406,poincare,arb,0,5069869805754092620938,1540944566621666722
418,11156406,control,arb,0,5069616605282552387668,1540867552021614837
419,11156406,poincare,noise,0,6453946903188319213386,1954420095352126177
420,11156406,control,noise,0,6453946903188319213386,1954419985397073292
421,11156407,poincare,arb,1,2943673264585537744,9710581412570623196980
422,11156407,control,arb,1,2943646092777441731,9710492324592692962228
423,11156407,poincare,noise,0,838205006757515776874,254814523709674861
424,11156407,control,noise,0,838205006757515776874,254814521842539123
425,11156408,poincare,arb,0,298436322049618399702,90691764329077060
426,11156408,control,arb,0,298405228269421812078,90682314580910291
427,11156408,poincare,noise,1,331703990509854944,1091250572633211518760
428,11156408,control,noise,1,331703990509854944,1091250562224211326981
429,11156409,poincare,arb,0,6564176737436286824053,1991808978546067049
430,11156409,control,arb,0,6564027010525794334575,1991763564976902328
431,11156409,poincare,noise,0,358788132281707343572,108628940896809266
432,11156409,control,noise,0,358788132281707343572,108628940556765220
433,11156410,poincare,arb,0,12374369556557982790480,3731386946124633155
434,11156410,control,arb,0,12374021230312621976817,3731281899598162354
435,11156410,poincare,noise,0,1138346469681581016224,341785848609091117
436,11156410,control,noise,0,1138346469681581016224,341785845229123759
437,11156411,poincare,arb,1,2254528663505084566,7493737095998817148912
438,11156411,control,arb,1,2254476335435567691,7493563238939259435284
439,11156411,poincare,noise,1,2090361909206650138,6916275434823329777431
440,11156411,control,noise,1,2090361909206650138,6916275018277087645927
441,11156412,poincare,arb,0,4077517302412383327296,1233495669725693239
442,11156412,control,arb,0,4077594542484076342699,1233519110022850358
443,11156412,poincare,noise,1,413610059262540788,1368435870932820821489
444,11156412,control,noise,1,413610059262540788,1368435854611316108183
445,11156413,poincare,arb,0,4012970140092701688615,1211900062144400280
446,11156413,control,arb,0,4012897780310508362722,1211878224249495654
447,11156413,poincare,noise,0,834842270891237347420,251729872955463239
448,11156413,control,noise,0,834842270891237347420,251729871125807767
449,11156414,poincare,arb,1,1482911745437728323,4911577496861512595218
450,11156414,control,arb,1,1482878063591734568,4911465974338247447878
451,11156414,poincare,noise,0,6073876180451904514675,1833156833275918113
452,11156414,control,noise,0,6073876180451904514675,1833156736373402471
453,11156415,poincare,arb,0,815564246204170009139,245606130467081527
