id,block,scenario,pool,kind,zeroForOne,amount_in,amount_out
346,11156154,0,control,arb,0,6674753733932668015731,2294308971628537867
347,11156154,0,poincare,noise,0,2192289532562827575344,751296819929052241
348,11156154,0,control,noise,0,2192289532562827575344,751296819929052241
349,11156155,0,poincare,arb,1,1273716200643746829,3714799778394265827408
350,11156155,0,control,arb,1,1273716200643746829,3714799778394265827408
351,11156155,0,poincare,noise,0,2318349453946621057751,795281923268788250
352,11156155,0,control,noise,0,2318349453946621057751,795281923268788250
353,11156156,0,poincare,arb,1,763323485878978294,2225256559145814498553
354,11156156,0,control,arb,1,763323485878978294,2225256559145814498553
355,11156156,0,poincare,noise,0,7543231641166502270196,2582890555819935792
356,11156156,0,control,noise,0,7543231641166502270196,2582890555819935792
357,11156157,0,poincare,arb,1,3768643200113636890,10993331196552779240855
358,11156157,0,control,arb,1,3768643200113636890,10993331196552779240855
359,11156157,0,poincare,noise,1,2242669392050941522,6503363821442447720566
360,11156157,0,control,noise,1,2242669392050941522,6503363821442447720566
361,11156158,0,poincare,arb,0,2314297457172397003535,799213765723217100
362,11156158,0,control,arb,0,2314297457172397003535,799213765723217100
363,11156158,0,poincare,noise,1,346955354151818140,1005131197429885127670
364,11156158,0,control,noise,1,346955354151818140,1005131197429885127670
365,11156159,0,poincare,arb,1,27335149252625403,79160927342562979892
366,11156159,0,control,arb,1,27335149252625403,79160927342562979892
367,11156159,0,poincare,noise,0,5366559913114899636584,1849814616340583750
368,11156159,0,control,noise,0,5366559913114899636584,1849814616340583750
369,11156160,0,poincare,arb,1,737231894842821300,2141148944150539025553
370,11156160,0,control,arb,1,737231894842821300,2141148944150539025553
371,11156160,0,poincare,noise,1,1704940057570743556,4939797917196839958655
372,11156160,0,control,noise,1,1704940057570743556,4939797917196839958655
373,11156161,0,poincare,arb,0,4956090833712851946584,1710554009621329795
374,11156161,0,control,arb,0,4956090833712851946584,1710554009621329795
375,11156161,0,poincare,noise,0,2254332966608857494310,776164648163675479
376,11156161,0,control,noise,0,2254332966608857494310,776164648163675479
377,11156162,0,poincare,arb,1,1593996734829672223,4625965900961809572764
378,11156162,0,control,arb,1,1593996734829672223,4625965900961809572764
379,11156162,0,poincare,noise,0,2411985549987170841013,831735877324085938
380,11156162,0,control,noise,0,2411985549987170841013,831735877324085938
381,11156163,0,poincare,arb,1,29262211792493005,84925685160012487308
382,11156163,0,control,arb,1,29262211792493005,84925685160012487308
383,11156163,0,poincare,noise,0,4494424899378304865968,1546299830130014427
384,11156163,0,control,noise,0,4494424899378304865968,1546299830130014427
385,11156164,0,poincare,arb,1,196653797542245621,572347309133722894632
386,11156164,0,control,arb,1,196653797542245621,572347309133722894632
387,11156164,0,poincare,noise,0,5758549077301594194306,1975123524318734862
388,11156164,0,control,noise,0,5758549077301594194306,1975123524318734862
389,11156165,0,poincare,arb,1,734835941961771167,2145062852531629725868
390,11156165,0,control,arb,1,734835941961771167,2145062852531629725868
391,11156165,0,poincare,noise,1,3032759651889144566,8820150586621566712878
392,11156165,0,control,noise,1,3032759651889144566,8820150586621566712878
393,11156166,0,poincare,arb,0,6968628755067637134530,2397624841920831370
394,11156166,0,control,arb,0,6968628755067637134530,2397624841920831370
395,11156166,0,poincare,noise,0,1790242847315350140414,614126760785674958
396,11156166,0,control,noise,0,1790242847315350140414,614126760785674958
397,11156167,0,poincare,arb,1,154130126044488385,449508978257050203855
398,11156167,0,control,arb,1,154130126044488385,449508978257050203855
399,11156167,0,poincare,noise,1,146609001316085928,427447424275361791550
400,11156167,0,control,noise,1,146609001316085928,427447424275361791550
401,11156168,0,poincare,arb,1,576096854467739330,1678449358088348035423
402,11156168,0,control,arb,1,576096854467739330,1678449358088348035423
403,11156168,0,poincare,noise,1,402962147327130968,1172892069080027350260
404,11156168,0,control,noise,1,402962147327130968,1172892069080027350260
405,11156169,0,poincare,arb,1,719980779889594944,2093314578720654938988
406,11156169,0,control,arb,1,719980779889594944,2093314578720654938988
407,11156169,0,poincare,noise,1,203235470218648810,590362041604785457749
408,11156169,0,control,noise,1,203235470218648810,590362041604785457749
409,11156170,0,poincare,arb,1,398891379472896003,1158020645053000965845
410,11156170,0,control,arb,1,398891379472896003,1158020645053000965845
411,11156170,0,poincare,noise,1,472712665841726110,1371155176237290304575
412,11156170,0,control,noise,1,472712665841726110,1371155176237290304575
413,11156171,0,poincare,arb,0,593799346623989543631,204769269432033692
414,11156171,0,control,arb,0,593799346623989543631,204769269432033692
415,11156171,0,poincare,noise,0,8674135583430601809133,2981869485835326154
416,11156171,0,control,noise,0,8674135583430601809133,2981869485835326154
417,11156172,0,poincare,arb,1,1902451019962665576,5540031637885940259482
